epoch 0          Loss = 0.127    Acc = 0.322     MinLoss = 0.127         MaxAcc = 0.322
epoch 1          Loss = 0.121    Acc = 0.340     MinLoss = 0.121         MaxAcc = 0.340
epoch 2          Loss = 0.117    Acc = 0.347     MinLoss = 0.117         MaxAcc = 0.347
epoch 3          Loss = 0.102    Acc = 0.364     MinLoss = 0.102         MaxAcc = 0.364
epoch 4          Loss = 0.086    Acc = 0.404     MinLoss = 0.086         MaxAcc = 0.404
epoch 5          Loss = 0.077    Acc = 0.428     MinLoss = 0.077         MaxAcc = 0.428
epoch 6          Loss = 0.072    Acc = 0.440     MinLoss = 0.072         MaxAcc = 0.440
epoch 7          Loss = 0.068    Acc = 0.451     MinLoss = 0.068         MaxAcc = 0.451
epoch 8          Loss = 0.064    Acc = 0.454     MinLoss = 0.064         MaxAcc = 0.454
epoch 9          Loss = 0.061    Acc = 0.457     MinLoss = 0.061         MaxAcc = 0.457
epoch 10         Loss = 0.058    Acc = 0.466     MinLoss = 0.058         MaxAcc = 0.466
epoch 11         Loss = 0.056    Acc = 0.463     MinLoss = 0.056         MaxAcc = 0.466
epoch 12         Loss = 0.054    Acc = 0.474     MinLoss = 0.054         MaxAcc = 0.474
epoch 13         Loss = 0.052    Acc = 0.475     MinLoss = 0.052         MaxAcc = 0.475
epoch 14         Loss = 0.051    Acc = 0.478     MinLoss = 0.051         MaxAcc = 0.478
epoch 15         Loss = 0.049    Acc = 0.480     MinLoss = 0.049         MaxAcc = 0.480
epoch 16         Loss = 0.048    Acc = 0.480     MinLoss = 0.048         MaxAcc = 0.480
epoch 17         Loss = 0.047    Acc = 0.480     MinLoss = 0.047         MaxAcc = 0.480
epoch 18         Loss = 0.046    Acc = 0.483     MinLoss = 0.046         MaxAcc = 0.483
epoch 19         Loss = 0.045    Acc = 0.482     MinLoss = 0.045         MaxAcc = 0.483
epoch 20         Loss = 0.044    Acc = 0.484     MinLoss = 0.044         MaxAcc = 0.484
epoch 21         Loss = 0.043    Acc = 0.488     MinLoss = 0.043         MaxAcc = 0.488
epoch 22         Loss = 0.041    Acc = 0.489     MinLoss = 0.041         MaxAcc = 0.489
epoch 23         Loss = 0.041    Acc = 0.489     MinLoss = 0.041         MaxAcc = 0.489
epoch 24         Loss = 0.041    Acc = 0.490     MinLoss = 0.041         MaxAcc = 0.490
epoch 25         Loss = 0.039    Acc = 0.490     MinLoss = 0.039         MaxAcc = 0.490
epoch 26         Loss = 0.040    Acc = 0.492     MinLoss = 0.039         MaxAcc = 0.492
epoch 27         Loss = 0.039    Acc = 0.491     MinLoss = 0.039         MaxAcc = 0.492
epoch 28         Loss = 0.038    Acc = 0.494     MinLoss = 0.038         MaxAcc = 0.494
epoch 29         Loss = 0.037    Acc = 0.495     MinLoss = 0.037         MaxAcc = 0.495
epoch 30         Loss = 0.037    Acc = 0.497     MinLoss = 0.037         MaxAcc = 0.497
epoch 31         Loss = 0.037    Acc = 0.497     MinLoss = 0.037         MaxAcc = 0.497
epoch 32         Loss = 0.036    Acc = 0.494     MinLoss = 0.036         MaxAcc = 0.497
epoch 33         Loss = 0.036    Acc = 0.497     MinLoss = 0.036         MaxAcc = 0.497
epoch 34         Loss = 0.036    Acc = 0.501     MinLoss = 0.036         MaxAcc = 0.501
epoch 35         Loss = 0.035    Acc = 0.499     MinLoss = 0.035         MaxAcc = 0.501
epoch 36         Loss = 0.034    Acc = 0.500     MinLoss = 0.034         MaxAcc = 0.501
epoch 37         Loss = 0.034    Acc = 0.502     MinLoss = 0.034         MaxAcc = 0.502
epoch 38         Loss = 0.035    Acc = 0.500     MinLoss = 0.034         MaxAcc = 0.502
epoch 39         Loss = 0.033    Acc = 0.501     MinLoss = 0.033         MaxAcc = 0.502
epoch 40         Loss = 0.033    Acc = 0.505     MinLoss = 0.033         MaxAcc = 0.505
epoch 41         Loss = 0.033    Acc = 0.502     MinLoss = 0.033         MaxAcc = 0.505
epoch 42         Loss = 0.033    Acc = 0.504     MinLoss = 0.033         MaxAcc = 0.505
epoch 43         Loss = 0.033    Acc = 0.503     MinLoss = 0.033         MaxAcc = 0.505
epoch 44         Loss = 0.032    Acc = 0.506     MinLoss = 0.032         MaxAcc = 0.506
epoch 45         Loss = 0.032    Acc = 0.505     MinLoss = 0.032         MaxAcc = 0.506
epoch 46         Loss = 0.031    Acc = 0.504     MinLoss = 0.031         MaxAcc = 0.506
epoch 47         Loss = 0.031    Acc = 0.505     MinLoss = 0.031         MaxAcc = 0.506
epoch 48         Loss = 0.031    Acc = 0.507     MinLoss = 0.031         MaxAcc = 0.507
epoch 49         Loss = 0.031    Acc = 0.502     MinLoss = 0.031         MaxAcc = 0.507
epoch 50         Loss = 0.031    Acc = 0.509     MinLoss = 0.031         MaxAcc = 0.509
