epoch 0          Loss = 0.130    Acc = 0.304     MinLoss = 0.130         MaxAcc = 0.304
epoch 1          Loss = 0.121    Acc = 0.336     MinLoss = 0.121         MaxAcc = 0.336
epoch 2          Loss = 0.120    Acc = 0.342     MinLoss = 0.120         MaxAcc = 0.342
epoch 3          Loss = 0.119    Acc = 0.342     MinLoss = 0.119         MaxAcc = 0.342
epoch 4          Loss = 0.118    Acc = 0.343     MinLoss = 0.118         MaxAcc = 0.343
epoch 5          Loss = 0.116    Acc = 0.347     MinLoss = 0.116         MaxAcc = 0.347
epoch 6          Loss = 0.110    Acc = 0.350     MinLoss = 0.110         MaxAcc = 0.350
epoch 7          Loss = 0.094    Acc = 0.370     MinLoss = 0.094         MaxAcc = 0.370
epoch 8          Loss = 0.083    Acc = 0.399     MinLoss = 0.083         MaxAcc = 0.399
epoch 9          Loss = 0.080    Acc = 0.419     MinLoss = 0.080         MaxAcc = 0.419
epoch 10         Loss = 0.076    Acc = 0.419     MinLoss = 0.076         MaxAcc = 0.419
epoch 11         Loss = 0.074    Acc = 0.428     MinLoss = 0.074         MaxAcc = 0.428
epoch 12         Loss = 0.073    Acc = 0.418     MinLoss = 0.073         MaxAcc = 0.428
epoch 13         Loss = 0.072    Acc = 0.426     MinLoss = 0.072         MaxAcc = 0.428
epoch 14         Loss = 0.071    Acc = 0.410     MinLoss = 0.071         MaxAcc = 0.428
epoch 15         Loss = 0.069    Acc = 0.416     MinLoss = 0.069         MaxAcc = 0.428
epoch 16         Loss = 0.069    Acc = 0.422     MinLoss = 0.069         MaxAcc = 0.428
epoch 17         Loss = 0.067    Acc = 0.415     MinLoss = 0.067         MaxAcc = 0.428
epoch 18         Loss = 0.067    Acc = 0.414     MinLoss = 0.067         MaxAcc = 0.428
epoch 19         Loss = 0.067    Acc = 0.409     MinLoss = 0.067         MaxAcc = 0.428
epoch 20         Loss = 0.065    Acc = 0.413     MinLoss = 0.065         MaxAcc = 0.428
epoch 21         Loss = 0.064    Acc = 0.414     MinLoss = 0.064         MaxAcc = 0.428
epoch 22         Loss = 0.064    Acc = 0.421     MinLoss = 0.064         MaxAcc = 0.428
epoch 23         Loss = 0.062    Acc = 0.407     MinLoss = 0.062         MaxAcc = 0.428
epoch 24         Loss = 0.062    Acc = 0.413     MinLoss = 0.062         MaxAcc = 0.428
epoch 25         Loss = 0.061    Acc = 0.405     MinLoss = 0.061         MaxAcc = 0.428
epoch 26         Loss = 0.060    Acc = 0.412     MinLoss = 0.060         MaxAcc = 0.428
epoch 27         Loss = 0.060    Acc = 0.415     MinLoss = 0.060         MaxAcc = 0.428
epoch 28         Loss = 0.058    Acc = 0.416     MinLoss = 0.058         MaxAcc = 0.428
epoch 29         Loss = 0.059    Acc = 0.405     MinLoss = 0.058         MaxAcc = 0.428
epoch 30         Loss = 0.058    Acc = 0.402     MinLoss = 0.058         MaxAcc = 0.428
epoch 31         Loss = 0.058    Acc = 0.408     MinLoss = 0.058         MaxAcc = 0.428
epoch 32         Loss = 0.057    Acc = 0.411     MinLoss = 0.057         MaxAcc = 0.428
epoch 33         Loss = 0.056    Acc = 0.415     MinLoss = 0.056         MaxAcc = 0.428
epoch 34         Loss = 0.055    Acc = 0.405     MinLoss = 0.055         MaxAcc = 0.428
epoch 35         Loss = 0.055    Acc = 0.413     MinLoss = 0.055         MaxAcc = 0.428
epoch 36         Loss = 0.054    Acc = 0.411     MinLoss = 0.054         MaxAcc = 0.428
epoch 37         Loss = 0.054    Acc = 0.407     MinLoss = 0.054         MaxAcc = 0.428
epoch 38         Loss = 0.053    Acc = 0.413     MinLoss = 0.053         MaxAcc = 0.428
epoch 39         Loss = 0.053    Acc = 0.409     MinLoss = 0.053         MaxAcc = 0.428
epoch 40         Loss = 0.053    Acc = 0.409     MinLoss = 0.053         MaxAcc = 0.428
epoch 41         Loss = 0.053    Acc = 0.410     MinLoss = 0.053         MaxAcc = 0.428
epoch 42         Loss = 0.052    Acc = 0.409     MinLoss = 0.052         MaxAcc = 0.428
epoch 43         Loss = 0.051    Acc = 0.416     MinLoss = 0.051         MaxAcc = 0.428
